Title,APC USD 
3D Printing in Medicine,1570
Acta Epilepsia,0
Acta Neuropathologica Communications,2290
Acta Veterinaria Scandinavica,2365
Addiction Science & Clinical Practice,2170
Advances in Rheumatology,0
Advances in Simulation,2440
Agriculture & Food Security,1870
AIDS Research and Therapy,2380
Algorithms for Molecular Biology,1990
"Allergy, Asthma & Clinical Immunology",2145
Alzheimer's Research & Therapy,2580
Animal Biotelemetry,1790
Annals of Clinical Microbiology and Antimicrobials,2570
Annals of General Psychiatry,2490
Annals of Occupational and Environmental Medicine,1975
Antimicrobial Resistance & Infection Control,2570
Applied Cancer Research,0
Archives of Physiotherapy,0
Archives of Public Health,2290
Arthritis Research & Therapy,2680
Arthroplasty,2000
Asia Pacific Family Medicine,2145
Asthma Research and Practice,2170
Avian Research,0
Basic and Clinical Andrology,2290
Behavioral and Brain Functions,2570
Big Data Analytics,1870
BioData Mining,2170
Bioelectronic Medicine,2170
Biological Procedures Online,2790
Biological Research,2240
Biology Direct,2145
Biology of Sex Differences,2570
Biomarker Research,2490
Biomaterials Research,2145
Biomedical Dermatology,0
BioMedical Engineering OnLine,1790
BioPsychoSocial Medicine,2145
Biotechnology for Biofuels,2690
BMC Anesthesiology,2290
BMC Biochemistry,2170
BMC Bioinformatics,2170
BMC Biology,2785
BMC Biomedical Engineering,1475
BMC Biophysics,2040
BMC Biotechnology,2290
BMC Cancer,2390
BMC Cardiovascular Disorders,2380
BMC Cell Biology,2170
BMC Chemical Engineering,1475
BMC Chemistry,2040
BMC Clinical Pathology,2170
BMC Complementary and Alternative Medicine,2380
BMC Dermatology,1690
BMC Developmental Biology,2145
"BMC Ear, Nose and Throat Disorders",2170
BMC Ecology,2175
BMC Emergency Medicine,1690
BMC Endocrine Disorders,2145
BMC Energy,1475
BMC Mechanical Engineering,1475
BMC Evolutionary Biology,2290
BMC Family Practice,2145
BMC Gastroenterology,2290
BMC Genetics,2040
BMC Genomics,2145
BMC Geriatrics,2380
BMC Health Services Research,2390
BMC Hematology,2170
BMC Immunology,2145
BMC Infectious Diseases,2190
BMC International Health and Human Rights,2290
BMC Materials,1475
BMC Medical Education,2145
BMC Medical Ethics,1480
BMC Medical Genetics,2290
BMC Medical Genomics,2145
BMC Medical Imaging,2290
BMC Medical Informatics and Decision Making,2290
BMC Medical Research Methodology,2380
BMC Medicine,3170
BMC Microbiology,2290
BMC Molecular Biology,2170
BMC Musculoskeletal Disorders,2380
BMC Nephrology,2170
BMC Neurology,2380
BMC Neuroscience,2145
BMC Nursing,2170
BMC Nutrition,1390
BMC Obesity,1390
BMC Ophthalmology,2170
BMC Oral Health,2170
BMC Palliative Care,2290
BMC Pediatrics,2290
BMC Pharmacology and Toxicology,2290
BMC Physiology,2170
BMC Plant Biology,2145
BMC Pregnancy and Childbirth,2170
BMC Proceedings,1990
BMC Psychiatry,2290
BMC Psychology,1290
BMC Public Health,2390
BMC Pulmonary Medicine,2290
BMC Research Notes,1390
BMC Rheumatology,1390
"BMC Sports Science, Medicine and Rehabilitation",2290
BMC Structural Biology,2170
BMC Surgery,2380
BMC Systems Biology,2290
BMC Urology,2170
BMC Veterinary Research,2290
BMC Women's Health,2145
BMC Zoology,1180
Borderline Personality Disorder and Emotion Dysregulation,2145
Breast Cancer Research,3290
Burns & Trauma,0
Cancer & Metabolism,2380
Cancer Cell International,2680
Cancer Communications,2145
Cancer Convergence,1475
Cancer Imaging,2145
Cancer Nanotechnology,1390
Cancers of the Head & Neck,2170
Canine Genetics and Epidemiology,1180
Carbon Balance and Management,1390
Cardio-Oncology,2380
Cardiovascular Diabetology,3060
Cardiovascular Ultrasound,2680
Cell & Bioscience,2145
Cell Communication and Signaling,2680
Cell Division,2790
Cellular & Molecular Biology Letters,1990
Cerebellum & Ataxias,1990
Child and Adolescent Psychiatry and Mental Health,2380
Chinese Medicine,2145
Chinese Neurosurgical Journal,0
Chiropractic & Manual Therapies,0
Cilia,1870
Climate Change Responses,2145
Clinical and Molecular Allergy,2170
Clinical and Translational Allergy,2300
Clinical Diabetes and Endocrinology,2170
Clinical Epigenetics,2990
Clinical Hypertension,0
Clinical Proteomics,2290
Clinical Sarcoma Research,2490
Conflict and Health,2490
Contraception and Reproductive Medicine,2170
Cost Effectiveness and Resource Allocation,2380
Critical Care,2890
Diabetology & Metabolic Syndrome,2220
Diagnostic and Prognostic Research,2170
Diagnostic Pathology,2570
Disaster and Military Medicine,2170
Emerging Themes in Epidemiology,2145
"Energy, Sustainability and Society",1390
Environmental Evidence,1870
Environmental Health,2490
Environmental Health and Preventive Medicine,2145
Epigenetics & Chromatin,2570
European Journal of Medical Research,2170
European Review of Aging and Physical Activity,2145
EvoDevo,2490
Evolution: Education and Outreach,1750
Experimental Hematology & Oncology,2380
ExRNA,0
Eye and Vision,0
Fertility Research and Practice,2040
Fisheries and Aquatic Sciences,2145
Fluids and Barriers of the CNS,2380
Frontiers in Zoology,2365
Fungal Biology and Biotechnology,1990
Geochemical Transactions,1140
Genes & Nutrition,2680
Genes and Environment,2290
Genetics Selection Evolution,1835
Genome Biology,3490
Genome Medicine,3680
Global Health Research and Policy,0
Globalization and Health,2490
Gut Pathogens,2490
Gynecologic Oncology Research and Practice,2145
Harm Reduction Journal,2570
Head & Face Medicine,2490
Health Economics Review,1870
Health & Justice,1290
Health and Quality of Life Outcomes,2290
Health Research Policy and Systems,2450
Helgoland Marine Research,0
"Hepatology, Medicine and Policy",2145
Hereditary Cancer in Clinical Practice,2490
Hereditas,1870
Human Genomics,2680
Human Resources for Health,2450
Immunity & Ageing,2790
Implementation Science,2490
Infectious Agents and Cancer,2145
Infectious Diseases of Poverty,2170
Inflammation and Regeneration,0
Innovation and Education,1230
International Breastfeeding Journal,2380
International Journal for Educational Integrity,1030
International Journal for Equity in Health,2380
International Journal of Arrhythmia,0
International Journal of Behavioral Nutrition and Physical Activity,2580
International Journal of Emergency Medicine,2290
International Journal of Food Contamination,1870
International Journal of Health Geographics,2380
International Journal of Mental Health Systems,2290
International Journal of Pediatric Endocrinology,2680
International Journal of Retina and Vitreous,0
Irish Veterinary Journal,2040
Israel Journal of Health Policy Research,0
Italian Journal of Pediatrics,2145
Journal for ImmunoTherapy of Cancer,2490
Journal of Animal Science and Biotechnology,860
Journal of Applied Volcanology,1390
Journal of Biological Engineering,2290
Journal of Biological Research-Thessaloniki,1990
Journal of Biomedical Science,0
Journal of Biomedical Semantics,1870
Journal of Cannabis Research,0
Journal of Cardiothoracic Surgery,2380
Journal of Cardiovascular Magnetic Resonance,2500
Journal of Cheminformatics,1890
Journal of Clinical Movement Disorders,2170
Journal of Congenital Cardiology,1690
Journal of Cotton Research,0
Journal of Eating Disorders,1290
Journal of Ecology and Environment,2145
Journal of Ethnic Foods,1180
Journal of Ethnobiology and Ethnomedicine,2490
Journal of Experimental & Clinical Cancer Research,3290
Journal of Foot and Ankle Research,2145
"Journal of Health, Population and Nutrition",2145
Journal of Hematology & Oncology,3580
Journal of Inflammation,2570
Journal of Intensive Care,0
Journal of Medical Case Reports,2290
Journal of Nanobiotechnology,2680
Journal of Neurodevelopmental Disorders,2490
Journal of NeuroEngineering and Rehabilitation,2680
Journal of Neuroinflammation,2680
Journal of Occupational Medicine and Toxicology,2380
Journal of Orthopaedic Surgery and Research,2380
Journal of Otolaryngology - Head & Neck Surgery,2145
Journal of Ovarian Research,2380
Journal of Pharmaceutical Health Care and Sciences,2220
Journal of Pharmaceutical Policy and Practice,2290
Journal of Physiological Anthropology,1565
Journal of the International Society of Sports Nutrition,2145
Journal of Translational Medicine,2890
Laboratory Animal Research,2140
"Life Sciences, Society and Policy",0
Lipids in Health and Disease,2040
Malaria Journal,2240
Marine Biodiversity Records,1870
"Maternal Health, Neonatology and Perinatology",2170
Microbial Cell Factories,2380
Microbiome,2790
Military Medical Research,0
Mobile DNA,2145
Molecular Autism,3060
Molecular Brain,2290
Molecular Cancer,3680
Molecular Cytogenetics,2570
Molecular Medicine,2680
Molecular Neurodegeneration,2580
Movement Ecology,2170
Multidisciplinary Respiratory Medicine,2145
Multiple Sclerosis and Demyelinating Disorders,1990
Neural Development,2490
NeuroCommons,1385
Neurological Research and Practice,0
Nutrire,0
Nutrition & Metabolism,2570
Nutrition Journal,2680
Orphanet Journal of Rare Diseases,2570
Parasites & Vectors,2145
Particle and Fibre Toxicology,3170
Patient Safety in Surgery,2380
Pediatric Rheumatology,2680
Perioperative Medicine,2450
"Philosophy, Ethics, and Humanities in Medicine",1290
Phytopathology Research,0
Pilot and Feasibility Studies,1990
Plant Methods,2490
Pneumonia,2040
Population Health Metrics,2290
Porcine Health Management,1790
Proteome Science,2170
Public Health Reviews,2145
Radiation Oncology,2490
Renal Replacement Therapy,0
Reproductive Biology and Endocrinology," 2,49"
Reproductive Health,2570
Research Integrity and Peer Review,2040
Research Involvement and Engagement,2170
Respiratory Research,2570
Retrovirology,2790
Revista Chilena de Historia Natural,1940
"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",2325
Scoliosis and Spinal Disorders,2450
Signals,2145
Skeletal Muscle,2290
Sleep Science and Practice,2040
Source Code for Biology and Medicine,1870
Standards in Genomic Sciences,2145
Stem Cell Research & Therapy,2380
"Substance Abuse Treatment, Prevention, and Policy",2380
Surgical and Experimental Pathology,1000
Sustainable Earth,990
Sustainable Environment Research,1475
Systematic Reviews,2040
The Journal of Headache and Pain,2490
Theoretical Biology and Medical Modelling,2570
Thrombosis Journal,2290
Thyroid Research,2680
Translational Medicine Communications,2170
Translational Neurodegeneration,2400
Trials,2190
"Tropical Diseases, Travel Medicine and Vaccines",2170
Tropical Medicine and Health,2290
Veterinary Research,1840
Virology Journal,2490
Women's Midlife Health,2040
World Journal of Emergency Surgery,2890
World Journal of Surgical Oncology,2290
Zoological Letters,0
