publisher,price,lower,higher,per
Acoustical Society of America,1350,500,2200,
Adis,3000,,,
Agricultural Institute of Canada,750,,,
AIP Publishing,2000,1500,2500,
Akademie Verlag,2450,,,
Akadémiai Kiadó,1125,,,
Alcohol Research Documentation,3000,,,
AlphaMed Press,3000,,,
American Academy of Neurology (AAN),3400,3000,3800,
American Anthropological Association,3000,,,
American Arachnological Society,70,40,100,
American Association for Cancer Research,3000,,,
American Association of Immunologists,3000,,,
American Association of Petroleum Geologists,2500,,,
American Association of Pharmaceutical Scientists,3000,,,
American Association of Physicists in Medicine,2500,,,
American Astronomical Society,47,45,49,per
American Chemical Society,2750,1500,4000,
American College of Chest Physicians (ACCP),4000,3000,5000,
American College of Sports Medicine (ACSM),2900,2000,3800,
American Dairy Science Association,2625,1750,3500,
American Geophysical Union (AGU),3000,2500,3500,
American Heart Association,3750,3000,4500,
American Institute of Aeronautics and Astronautics,2000,,,
American Institute of Mathematical Sciences (AIMS),800,,,per
American Medical Association (AMA),5000,,,
American Meteorological Society,800,,,
American Physical Society,2200,1700,2700,
American Physiological Society,2500,2000,3000,
American Phytopathological Society,2150,1900,2400,
American Psychological Association,4000,,,
American Public Health Association,2500,,,
American Society for Biochemistry and Molecular Biology,1750,1500,2000,
American Society for Bone and Mineral Research,3000,,,
American Society for Clinical Investigation,0,,,
American Society for Clinical Pharmacology and Therapeutics,3000,,,
American Society for Horticultural Science,600,,,
American Society for Investigative Pathology (ASIP),1500,,,
American Society for Investigative Pathology (ASIP) - Journal of Molecular Diagnostics,1500,,,
American Society for Microbiology,2725,2300,3150,
American Society for Nutrition,5000,,,
American Society for Pharmacology and Experimental Therapeutics (ASPET),2500,2000,3000,
American Society of Agronomy,1050,800,1300,
American Society of Andrology,3000,,,
American Society of Animal Science,2875,2500,3250,
American Society of Civil Engineers,1750,,,
American Society of Clinical Oncology,4250,3500,5000,
American Society of Hematology,2000,,,
American Society of Mechanical Engineers (ASME),3000,,,
American Society of Nephrology,3000,,,
American Society of Neuroradiology,500,,,
American Society of Parasitologists,875,750,1000,
American Society of Plant Biologists,1900,1800,2000,
American Society of Tropical Medicine and Hygiene,2500,,,
American Speech-Language-Hearing Association,2500,,,
Amsterdam University Press,494,,,
Antiquity Publications,2340,,,
AOAC International,1125,1050,1200,
Arnold Publishers,3000,,,
ASM International,3000,,,
Association for Information Science and Technology (ASIS&T),3000,,,
Association for Psychological Science,3000,,,
Association for the Sciences of Limnology and Oceanography (ASLO),350,,,
Association of Learned and Professional Society Publishers (ALPSP),3167,2785,3550,
Audio Engineering Society,675,150,1200,
Australian Psychological Society,3000,,,
Begell House,2350,1500,3200,
Begell House - Engineering Titles,2350,1500,3200,
Berghahn Journals,1248,1170,1326,
Berghahn Journals - 24 months,1248,1170,1326,
Berghahn Journals - 36 months,1248,1170,1326,
Bernoulli Society for Mathematical Statistics and Probability,950,,,
Biological Society of Washington,1800,,,
Biophysical Society,1800,,,
BioScientifica,1833,546,3120,
Blackwell Publishing,3000,,,
Bloomsbury Publishing,1340,,,
BMJ Publishing Group,1989,936,3042,
BMJ Publishing Group - 6 months embargo,1989,936,3042,
Botanical Society of America,1500,,,
Brill Academic Publishers,2125,1700,2550,
British Agricultural History Society,2652,,,
British Editorial Society of Bone and Joint Surgery,3736,3486,3986,
British Institute of Radiology,2613,2886,2340,
Cambridge University Press (CUP),2835,,,
Cambridge University Press (CUP) - 12 months,2835,,,
Cambridge University Press (CUP) - HSS Journals,2835,,,
Cambridge University Press (CUP) - PDF allowed,2835,,,
Cambridge University Press (CUP) - PDF Allowed No Embargo,2835,,,
Cambridge University Press (CUP) - STM Journals,2835,,,
Canadian Acoustical Association,227,,,
Canadian Psychiatric Association (Association des psychiatres du Canada),227,,,
Cancer Research UK,3435,2620,4250,
Central Ornithology Publication Office,1750,1500,2000,
Chartered Financial Analysts Institute,100,,,
Chelonian Research Foundation,1750,1500,2000,
Chemical Society of Japan (日本化学会),600,400,800,
CISES,659,,,
Clay Minerals Society,250,,,
Cochrane Collaboration,3750,2500,5000,
Cold Spring Harbor Laboratory Press,2000,,,
Cold Spring Harbor Laboratory Press - 12 month Embargo,2000,,,
"Columbia University, Teachers College",750,500,1000,
Common Ground Research Networks,250,,,
Company of Biologists,3900,,,
Company of Biologists - Development,3900,,,
Crop Science Society of America,1000,,,
Cryo Letters,659,,,
CSIRO Publishing,3000,,,
Current Medicine Group,3000,,,
De Gruyter,2000,,,
Dennis Barber,780,,,
Ecological Society of America,3000,,,
Economic Issues Education Trust,156,,,
Edinburgh University Press,1560,,,
EDP Sciences,824,,,
EDP Sciences - EPJ,1099,,,
Education and Upbringing Publishing,550,,,
Edward Elgar Publishing,1560,,,
Electrochemical Society,800,,,
Elsevier,2750,500,5000,
Elsevier - 12 months,2750,500,5000,
Elsevier - 24 months,2750,500,5000,
Elsevier - 36 months,2750,500,5000,
Elsevier - Lancet,624,,,per
Elsevier (Cell Press),4400,3800,5000,
Elsevier (Cell Press) - 12 month embargo,3200,1400,5000,
Elsevier (Cell Press) - 6 month embargo,3000,,,
Elsevier España (Elsevier Doyma),2750,500,5000,
Elsevier Masson,2750,500,5000,
EMBO Press,3900,,,
Emerald,1595,,,
Endocrine Society,3000,,,
Entomological Society of America,525,500,550,
EPL Association,2700,,,
Equinox Publishing,1872,,,
Ernst und Sohn,3000,,,
European Association of Geoscientists and Engineers (EAGE),2749,,,
European Physical Society,2700,,,
European Respiratory Society,2749,2199,3299,
European Society of Endocrinology,2340,1560,3120,
Fabrizio Serra editore,1924,,,
Federation of American Society of Experimental Biology (FASEB),2500,,,
Finnish Zoological and Botanical Publishing Board,989,,,
Foundation Compositio Mathematica,2950,,,
Future Medicine,2133,1482,2784,
Future Science,2133,1482,2784,
Future Science - Newlands Press,2133,1482,2784,
Genetics Society of America,1750,2000,1500,
Geological Society,2340,,,
Geological Society of America,2500,,,
Haworth Press,2950,,,
Herpetologists League,2250,2000,2500,
Histochemical Society,3000,,,
Hogrefe,3000,,,
Human Kinetics,2000,,,
Humana Press,3000,,,
IM Publications,1950,,,
Imprint Academic,2340,,,
Incisive Media,2900,,,
Inderscience,3000,,,
INFORMS (Institute for Operations Research and Management Sciences),3000,,,
Institute of Mathematical Statistics (IMS),950,,,
Institution of Engineering and Technology (IET),2000,,,
Intellect,1170,,,
Inter Research,1401,1099,1704,
International Association for Energy Economics,3000,,,
International Bee Research Association,565,585,546,
International Glaciological Society,3588,,,
International Union Against Tuberculosis and Lung Disease,1649,,,
International Union of Crystallography,582,165,1000,
IOP Publishing,2700,,,
IOP Publishing - arXiv,2700,,,
IOP Publishing - Hybrid Open Access,2700,,,
IOS Press,1250,,,
IWA Publishing,1875,1500,2250,
Japan Society of Applied Physics,560,320,800,
John Benjamins Publishing,1869,,,
John Wiley and Sons,3000,,,
Johns Hopkins University Press,3000,,,
Johns Hopkins University Press - Bulletin of the History of Medicine,3000,,,
Journal of Rheumatology,3500,,,
Journal of Visualized Experiments (JoVE),1800,,,
Karger Publishers,3059,,,
KT Press,600,,,
Landes Bioscience,1125,750,1500,
Linguistic Society of America,400,,,
Linnean Society of London,3000,,,
"Lippincott, Williams & Wilkins",2900,2000,3800,
Liverpool University Press,1950,,,
London Mathematical Society,3050,,,
Longwoods Publishing,2500,,,
Magnolia Press,20,,,per
Manchester University Press,780,,,
Manchester University Press - Cahiers Élisabéthains,780,,,
Manchester University Press - Ethnicity and Race in a Changing World,780,,,
Manchester University Press - Redescriptions,780,,,
Maney Publishing,1400,800,2000,
Marcel Dekker,2950,,,
Marques Aviation Press,3335,,,
Mary Ann Liebert,2700,2200,3200,
Mary Ann Liebert - Open Access,2700,2200,3200,
Massachusetts Institute of Technology Press (MIT Press),1250,,,
Massachusetts Institute of Technology Press (MIT Press) - 12 month embargo,1250,,,
Massachusetts Institute of Technology Press (MIT Press) - 3 month embargo,1250,,,
Massachusetts Institute of Technology Press (MIT Press) - 6 month embargo,1250,,,
Microbiology Society,2835,,,
Mineralogical Society,2340,,,
Mineralogical Society of America,250,,,per
Multi-Science Publishing,1500,,,
NACE International,1800,,,
National Academy of Sciences,1650,1100,2200,
National Inquiry Services Centre (NISC),2000,,,
National Inquiry Services Centre (NISC) - 18 month embargo,2000,,,
Nature Publishing Group,3700,3000,4400,
NIR Publications,1950,,,
Nordic Association of Occupational Safety and Health (NOROSH),1319,,,
Nordic Ecological Society,3000,,,
NRC Research Press (Canadian Science Publishing),3000,,,
Oekom Verlag,686,439,934,
Old City Publishing,2500,,,
Oldenbourg Verlag,2450,,,
Optical Society of America,1849,,,
Oxford University Press (OUP),2730,1560,3900,
Oxford University Press (OUP) - ASN,2800,,,
Oxford University Press (OUP) - EJIL,2800,,,
Oxford University Press (OUP) - Molecular Biology and Evolution,2500,1600,3400,
Oxford University Press (OUP) - Past and Present,2800,,,
Oxford University Press (OUP) - Policy A - Oxford Open Option A,2800,,,
Oxford University Press (OUP) - Policy A - Oxford Open Option B,2900,2800,3000,
Oxford University Press (OUP) - Policy A - Oxford Open Option D,3100,2800,3400,
Oxford University Press (OUP) - Policy A - Oxford Open Option F,2400,,,
Oxford University Press (OUP) - Policy A1 - Oxford Open Option C,3250,3000,3500,
Oxford University Press (OUP) - Policy A1 - Oxford Open Option F,3000,,,
Oxford University Press (OUP) - Policy B,2910,2320,3500,
Oxford University Press (OUP) - Policy B - Oxford Open Option A,2800,,,
Oxford University Press (OUP) - Policy B - Oxford Open Option B,2550,1600,3500,
Oxford University Press (OUP) - Policy B - Oxford Open Option B - CC-BY,2500,1600,3400,
Oxford University Press (OUP) - Policy B - Oxford Open Option C,3250,3000,3500,
Oxford University Press (OUP) - Policy B - Oxford Open Option D,2900,2400,3400,
Oxford University Press (OUP) - Policy B - Oxford Open Option D - CC-BY,2900,2400,3400,
Oxford University Press (OUP) - Policy B - Oxford Open Option F,1600,,,
Oxford University Press (OUP) - Policy B1,2730,1560,3900,
Oxford University Press (OUP) - Policy B1 - Oxford Open Option B,3200,3000,3400,
Oxford University Press (OUP) - Policy B1 - Oxford Open Option D,3200,3000,3400,
Oxford University Press (OUP) - Policy C - Option A,2800,,,
Oxford University Press (OUP) - Policy C - Option B,2800,,,
Oxford University Press (OUP) - Policy C - Option D,3200,3000,3400,
Oxford University Press (OUP) - Policy C - Option F,3000,,,
Oxford University Press (OUP) - Policy D,3250,3000,3500,
Oxford University Press (OUP) - Policy D - Oxford Open Option D,3200,3000,3400,
Oxford University Press (OUP) - Policy E - Oxford Open Option A,2800,,,
Oxford University Press (OUP) - Policy E - Oxford Open Option B,2800,,,
Oxford University Press (OUP) - Policy E - Oxford Open Option B - RCUK,2800,,,
Oxford University Press (OUP) - Policy E - Oxford Open Option C,2800,,,
Oxford University Press (OUP) - Policy E - Oxford Open Option D,2400,1600,3200,
Oxford University Press (OUP) - Policy E - Oxford Open Option D - RCUK,2400,1600,3200,
Oxford University Press (OUP) - Policy E - Oxford Open Option E,2400,1600,3200,
Oxford University Press (OUP) - Policy E - Oxford Open Option F,3000,,,
Oxford University Press (OUP) - Policy E - Oxford Open Option G,1600,,,
Oxford University Press (OUP) - Policy F,2900,2800,3000,
Oxford University Press (OUP) - Policy F - Oxford Open Option C,2800,,,
Oxford University Press (OUP) - Policy F - Oxford Open Option D,3000,2800,3200,
Oxford University Press (OUP) - Policy F - Oxford Open Option D - RCUK,3000,2800,3200,
Oxford University Press (OUP) - Policy F - Oxford Open Option G,2800,,,
Oxford University Press (OUP) - Policy H,2800,,,
Oxford University Press (OUP) - Policy H - Oxford Open Option A,2200,1600,2800,
Oxford University Press (OUP) - Policy H - Oxford Open Option B,2800,,,
Oxford University Press (OUP) - Policy H - Oxford Open Option D,3200,3000,3400,
Oxford University Press (OUP) - Policy I,2800,,,
Oxford University Press (OUP) - Policy I - Oxford Open Option D,2800,,,
Oxford University Press (OUP) - Policy I - Oxford Open Option G,2800,,,
Oxford University Press (OUP) - Policy J - Oxford Open Option E,2800,,,
Oxford University Press (OUP) - Policy K - Oxford Open Option D,2800,,,
Oxford University Press (OUP) - Policy K - Oxford Open Option E,2800,,,
Oxford University Press (OUP) - Policy M,2800,,,
Oxford University Press (OUP) - Policy P - Oxford Open Option A,2575,2550,2600,
Oxford University Press (OUP) - Policy R - Oxford Open D - RCUK,2800,,,
Oxford University Press (OUP) - Policy R - Oxford Open Option D,2800,,,
Paleontological Society,2000,1500,2500,
Paleontological Society - Hybrid journals [SN-owned],2600,,,
Paleontological Society - Hybrid journals [society-owned],2600,,,
Physical Society of Japan 日本物理学会 (JPS),800,400,1200,
Pion,2340,,,
PNG Publications,500,,,
Policy Press,2340,,,
Portland Press,3250,3000,3500,
Practical Action Publishing,1170,,,
Publication Office of Progress of Theoretical Physics,1040,480,1600,
Radiation Research Society,2000,,,
Radiological Society of North America (RSNA),3000,,,
RCN Publishing (RCNi),1404,1248,1560,
Rockefeller University Press,5000,,,
Royal Astronomical Society,2550,,,
Royal College of General Practitioners,3120,,,
Royal College of Psychiatrists,4500,,,
Royal College of Surgeons of England,1326,,,
Royal Meteorological Society,3000,,,
Royal Society of Chemistry,2730,1560,3900,
"Royal Society, The",2975,,,
Royal Statistical Society,3000,,,
SAE International,600,,,
SAGE Publications (UK and US),3000,,,
SAGE Publications (UK and US) - 12 month Embargo,3000,,,
SAGE Publications (UK and US) - 24 months,3000,,,
Schattauer,2450,,,
Schlütersche Verlagsgesellschaft,824,,,
Science Reviews 2000,495,280,710,
SciTechnol,919,,,
Scuola Internazionale Superiore di Studi Avanzati (SISSA),3000,,,
Society for Chaos Theory in Psychology and Life Sciences,1500,,,
Society for Endocrinology,3120,,,
Society for Industrial and Applied Mathematics,2500,,,
Society for Leukocyte Biology,2500,,,
Society for Neuroscience,2302,1370,3235,
Society for Reproduction and Fertility,3120,,,
Society for Sedimentary Geology (SEPM),2700,,,
Society of Antiquaries of Scotland,6240,4680,7800,
Society of Economic Geologists,2750,2500,3000,
Society of Exploration Geophysicists,2500,,,
Society of Nuclear Medicine,3000,,,
Society of Photo-optical Instrumentation Engineers (SPIE),810,660,960,per
Society of Vertebrate Paleontology,2950,,,
Società Geologica Italiana,8799,1099,16499,
Soil Science Society of America,800,,,
Spandidos Publications,675,,,
Spandidos Publications - Springer Open Choice Hybrid Journals,3000,,,
Spandidos Publications - Springer Open Choice Hybrid Journals - CC-BY-NC,3000,,,
Spandidos Publications - Hybrid Journals,2200,1100,3300,
"Spandidos Publications - Hybrid Journals - CC BY-NC-ND or CC-NC-SA, CC BY on request",2200,1100,3300,
Spandidos Publications - Hybrid Journals - choice of CC licence,2200,1100,3300,
Springer Verlag (Germany),3000,,,
Springer Verlag (Germany) - Computer Proceedings,3000,,,
Synergy Publishers,500,,,
Taylor & Francis,2950,,,
Taylor & Francis - SSH Journals,2950,,,
"Taylor & Francis - STM, Behavioural Science and Public Health Titles",2950,,,
Taylor & Francis (CRC Press),2950,,,
Taylor & Francis (Psychology Press),2950,,,
"Taylor & Francis (Psychology Press) - STM, Behavioural Science and Public Health Titles",2950,,,
Taylor & Francis (Routledge),2950,,,
Taylor & Francis (Routledge) - Library and Information Science,2950,,,
Taylor & Francis (Routledge) - SSH Titles,2950,,,
"Taylor & Francis (Routledge) - STM, Behavioural Science and Public Health Titles",2950,,,
Textrum,1595,,,
Thomas Land Publishers,2800,,,
Thomas Telford (ICE Publishing),1600,1400,1800,
Trans Tech Publications,276,,,
Universities Federation for Animal Welfare (UFAW),2340,,,
"University College London, Faculty of Mathematical and Physical Sciences, Department of Mathematics",2400,,,
University of Chicago Press,2650,1000,4300,
"University of Colorado at Boulder, Institute of Arctic and Alpine Research",500,,,
"University of Miami, Rosenstiel School of Marine and Atmospheric Science",1000,,,
University of the Basque Country Press (UBC Press),1649,,,
University of Toronto Press,3000,,,
University of Wales Press,2188,2037,2340,
University of Wisconsin Press,1500,,,
"Università di Bologna, Department of Agricultural Sciences",131,,,
Wageningen Academic Publishers,2500,,,
WB Saunders,2750,500,5000,
Weed Science Society of America,2250,2000,2500,
Westburn Publishers,2340,,,
White Horse Press,2340,,,
Wiley,3000,,,
Wiley - 12 months,3000,,,
Wiley - 18 months,3000,,,
Wiley - 24 months,3000,,,
Wiley - 6 months,3000,,,
Wiley - 9 months,3000,,,
Wiley - Biometrics,3000,,,
Wiley - FEBS Journal,3000,,,
Wiley - Pre-print Only,3000,,,
Wiley-VCH Verlag,3000,,,
WIT Press,98,,,per
World Scientific Publishing,1500,,,
